title,year,doi,venue,authors,abstract,keywords,openalex_id,is_oa,cited_by,doi_clean,text,class
The Flickr frequency norms: What 17 years of images tagged online tell us about lexical processing,2022,10.3758/s13428-022-02031-y,Behavior Research Methods,Marco A. Petilli; Fritz Günther; Marco Marelli,"Word frequency is one of the best predictors of language processing. Typically, word frequency norms are entirely based on natural-language text data, thus representing what the literature typically refers to as purely linguistic experience. This study presents Flickr frequency norms as a novel word frequency measure from a domain-specific corpus inherently tied to extra-linguistic information: words used as image tags on social media. To obtain Flickr frequency measures, we exploited the photo-sharing platform Flickr Image (containing billions of photos) and extracted the number of uploaded images tagged with each of the words considered in the lexicon. Here, we systematically examine the peculiarities of Flickr frequency norms and show that Flickr frequency is a hybrid metrics, lying at the intersection between language and visual experience and with specific biases induced by being based on image-focused social media. Moreover, regression analyses indicate that Flickr frequency captures additional information beyond what is already encoded in existing norms of linguistic, sensorimotor, and affective experience. Therefore, these new norms capture aspects of language usage that are missing from traditional frequency measures: a portion of language usage capturing the interplay between language and vision, which – this study demonstrates – has its own impact on word processing. The Flickr frequency norms are openly available on the Open Science Framework (https://osf.io/2zfs3/).","['Computer science', 'Natural language processing', 'Information retrieval', 'Artificial intelligence']",https://openalex.org/W4311282624,True,8,10.3758/s13428-022-02031-y,computer science natural language processing information retrieval artificial intelligence flickr frequency norms years images tagged online tell lexical processing word frequency best predictors language processing typically word frequency norms entirely based natural language text data representing literature typically refers purely linguistic experience study presents flickr frequency norms novel word frequency measure domain specific corpus inherently tied extra linguistic information words used image tags social media obtain flickr frequency measures exploited photo sharing platform flickr image containing billions photos extracted number uploaded images tagged words considered lexicon systematically examine peculiarities flickr frequency norms flickr frequency hybrid metrics lying intersection language visual experience specific biases induced based image focused social media regression analyses indicate flickr frequency captures additional information encoded existing norms linguistic sensorimotor affective experience new norms capture aspects language usage missing traditional frequency measures portion language usage capturing interplay language vision study demonstrates impact word processing flickr frequency norms openly available open science framework https osf io zfs,1
"Translation norms for Malay and English words: The effects of word class, semantic variability, lexical characteristics, and language proficiency on translation",2022,10.3758/s13428-022-01977-3,Behavior Research Methods,Soon Tat Lee; Walter J. B. van Heuven; Jessica Price; Christine Xiang Ru Leong,,"['Malay', 'Linguistics', 'Ambiguity', 'Computer science', 'Vocabulary', 'Word lists by frequency', 'Natural language processing', 'Psychology', 'Artificial intelligence', 'Sentence', 'Philosophy']",https://openalex.org/W4304196404,True,7,10.3758/s13428-022-01977-3,malay linguistics ambiguity computer science vocabulary word lists frequency natural language processing psychology artificial intelligence sentence philosophy translation norms malay english words effects word class semantic variability lexical characteristics language proficiency translation,1
The Flickr frequency norms: what 17 years of images tagged online tell us about lexical processing,2022,10.31234/osf.io/h4q86,,Marco A. Petilli; Fritz Guenther; Marco Marelli,"Word frequency is one of the best predictors of language processing. Typically,word frequency norms are entirely based on natural-language text data, thusrepresenting what the literature typically refers to as purely linguistic experience. This study presents Flickr frequency norms as a novel word frequency measure from a domain-specific corpus inherently tied to extra-linguistic information: words used as image tags on social media. To obtain Flickr frequency measures, we exploited the photo-sharing platform Flickr Image (containing billions of photos) and extracted the number of uploaded images tagged with each of the words considered in the lexicon. Here we systematically examine the peculiarities of Flickr frequency norms and show that Flickr frequency is a hybrid metric, lying at the intersection between language and visual experience and with specific biases induced by being based on image-focused social media. Moreover, regression analyses indicate that Flickr frequency captures additional information beyond what is already encoded in existing norms of linguistic, sensorimotor, and affective experience. Therefore, these new norms capture aspects of language usage that are missing from traditional frequency measures: a portion of language usage capturing the interplay between language and vision, which, as this study demonstrates, has its own impact on word processing. The Flickr frequency norms are openly available on the Open Science Framework(https://osf.io/2zfs3/).","['Word lists by frequency', 'Computer science', 'Natural language processing', 'Social media', 'Lexicon', 'Word (group theory)', 'Upload', 'Artificial intelligence', 'Linguistics', 'World Wide Web', 'Sentence', 'Philosophy']",https://openalex.org/W4283711714,True,1,10.31234/osf.io/h4q86,word lists frequency computer science natural language processing social media lexicon word group theory upload artificial intelligence linguistics world wide web sentence philosophy flickr frequency norms years images tagged online tell lexical processing word frequency best predictors language processing typically word frequency norms entirely based natural language text data thusrepresenting literature typically refers purely linguistic experience study presents flickr frequency norms novel word frequency measure domain specific corpus inherently tied extra linguistic information words used image tags social media obtain flickr frequency measures exploited photo sharing platform flickr image containing billions photos extracted number uploaded images tagged words considered lexicon systematically examine peculiarities flickr frequency norms flickr frequency hybrid metric lying intersection language visual experience specific biases induced based image focused social media regression analyses indicate flickr frequency captures additional information encoded existing norms linguistic sensorimotor affective experience new norms capture aspects language usage missing traditional frequency measures portion language usage capturing interplay language vision study demonstrates impact word processing flickr frequency norms openly available open science framework https osf io zfs,1
"The Lancaster Sensorimotor Norms: multidimensional measures of perceptual and action strength for 40,000 English words",2019,10.3758/s13428-019-01316-z,Behavior Research Methods,Dermot Lynott; Louise Connell; Marc Brysbaert; James Brand; James Carney,"Abstract Sensorimotor information plays a fundamental role in cognition. However, the existing materials that measure the sensorimotor basis of word meanings and concepts have been restricted in terms of their sample size and breadth of sensorimotor experience. Here we present norms of sensorimotor strength for 39,707 concepts across six perceptual modalities (touch, hearing, smell, taste, vision, and interoception) and five action effectors (mouth/throat, hand/arm, foot/leg, head excluding mouth/throat, and torso), gathered from a total of 3,500 individual participants using Amazon’s Mechanical Turk platform. The Lancaster Sensorimotor Norms are unique and innovative in a number of respects: They represent the largest-ever set of semantic norms for English, at 40,000 words × 11 dimensions (plus several informative cross-dimensional variables), they extend perceptual strength norming to the new modality of interoception, and they include the first norming of action strength across separate bodily effectors. In the first study, we describe the data collection procedures, provide summary descriptives of the dataset, and interpret the relations observed between sensorimotor dimensions. We then report two further studies, in which we (1) extracted an optimal single-variable composite of the 11-dimension sensorimotor profile (Minkowski 3 strength) and (2) demonstrated the utility of both perceptual and action strength in facilitating lexical decision times and accuracy in two separate datasets. These norms provide a valuable resource to researchers in diverse areas, including psycholinguistics, grounded cognition, cognitive semantics, knowledge representation, machine learning, and big-data approaches to the analysis of language and conceptual representations. The data are accessible via the Open Science Framework ( http://osf.io/7emr6/ ) and an interactive web application ( https://www.lancaster.ac.uk/psychology/lsnorms/ ).","['Cognitive psychology', 'Psychology', 'Perception', 'Cognition', 'Action (physics)', 'Concreteness', 'Semantics (computer science)', 'Cognitive science', 'Computer science', 'Physics', 'Quantum mechanics', 'Neuroscience', 'Programming language']",https://openalex.org/W2982116886,True,307,10.3758/s13428-019-01316-z,cognitive psychology psychology perception cognition action physics concreteness semantics computer science cognitive science computer science physics quantum mechanics neuroscience programming language lancaster sensorimotor norms multidimensional measures perceptual action strength english words abstract sensorimotor information plays fundamental role cognition existing materials measure sensorimotor basis word meanings concepts restricted terms sample size breadth sensorimotor experience present norms sensorimotor strength concepts perceptual modalities touch hearing smell taste vision interoception action effectors mouth throat hand arm foot leg head excluding mouth throat torso gathered total individual participants using amazons mechanical turk platform lancaster sensorimotor norms unique innovative number respects represent largest set semantic norms english words dimensions plus informative cross dimensional variables extend perceptual strength norming new modality interoception include norming action strength separate bodily effectors study data collection procedures provide summary descriptives dataset interpret relations observed sensorimotor dimensions report studies extracted optimal single variable composite dimension sensorimotor profile minkowski strength demonstrated utility perceptual action strength facilitating lexical decision times accuracy separate datasets norms provide valuable resource researchers diverse areas including psycholinguistics grounded cognition cognitive semantics knowledge representation machine learning big data approaches analysis language conceptual representations data accessible open science framework http osf io emr interactive web application https www lancaster ac uk psychology lsnorms,1
As designações para o pão nosso de cada dia: a norma lexical do português brasileiro com base no corpus do Projeto ALiB / Designations for the daily bread: the lexical norm from Brazilian Portuguese based on ALiB Project corpus,2021,10.17851/2237-2083.29.1.533-588,Revista de Estudos da Linguagem,Vanessa Yida,"Este artigo tem como proposta a identificação de possíveis normas lexicais gerais e regionais a partir da descrição e da análise da variação espacial para o popularmente denominado “pão francês”, em uma perspectiva geolinguística e léxico-semântica. Para tanto, adota-se a visão da norma linguística, com base em Coseriu (1979), somada às contribuições de Camara Junior (1964), Rona (1969), Cunha (1987), dentre outros. A diversidade de nomeações para esse alimento foi documentada por meio da questão 186 do Questionário Semântico-Lexical (QSL) dos Questionários (COMITÊ NACIONAL DO PROJETO ALiB, 2001) aplicada pelas equipes que compõem o Projeto Atlas Linguístico do Brasil (ALiB), em 250 localidades brasileiras (interior e capitais). Na composição do corpus desta análise, foram selecionados 1000 informantes com o perfil fundamental de escolaridade, contemplando as dimensões diassexual e diageracional. Com base na cartografação linguística e cotejo da disseminação das variantes lexicais obtidas e na consulta a obras lexicográficas, foram identificadas as formas de uso geral e regional, além de traços de influência interétnica e de fluxos migratórios internos e externos. Ainda, constatou-se a polimorfia de designações, por efeito da presença do referente no cotidiano brasileiro, atestando a relevância desse alimento, consumido desde os primórdios da história da civilização.","['Lexico', 'Linguistics', 'Humanities', 'Art', 'Lexicon', 'Philosophy']",https://openalex.org/W3095649193,True,1,10.17851/2237-2083.29.1.533-588,lexico linguistics humanities art lexicon philosophy designacoes para o pao nosso cada dia norma lexical portugues brasileiro com base corpus projeto alib designations daily bread lexical norm brazilian portuguese based alib project corpus este artigo tem como proposta identificacao possiveis normas lexicais gerais e regionais partir da descricao e da analise da variacao espacial para o popularmente denominado pao frances em uma perspectiva geolinguistica e lexico semantica para tanto adota se visao da norma linguistica com base em coseriu somada contribuicoes camara junior rona cunha dentre outros diversidade nomeacoes para esse alimento foi documentada por meio da questao questionario semantico lexical qsl dos questionarios comite nacional projeto alib aplicada pelas equipes que compoem o projeto atlas linguistico brasil alib em localidades brasileiras interior e capitais composicao corpus desta analise foram selecionados informantes com o perfil fundamental escolaridade contemplando dimensoes diassexual e diageracional com base cartografacao linguistica e cotejo da disseminacao das variantes lexicais obtidas e consulta obras lexicograficas foram identificadas formas uso geral e regional alem tracos influencia interetnica e fluxos migratorios internos e externos ainda constatou se polimorfia designacoes por efeito da presenca referente cotidiano brasileiro atestando relevancia desse alimento consumido desde os primordios da historia da civilizacao,1
Mandarin Chinese modality exclusivity norms,2019,10.1371/journal.pone.0211336,PLoS ONE,I-Hsuan Chen; Qingqing Zhao; Yunfei Long; Lu Qin; Chu‐Ren Huang,"Modality exclusivity norms have been developed in different languages for research on the relationship between perceptual and conceptual systems. This paper sets up the first modality exclusivity norms for Chinese, a Sino-Tibetan language with semantics as its orthographically relevant level. The norms are collected through two studies based on Chinese sensory words. The experimental designs take into consideration the morpho-lexical and orthographic structures of Chinese. Study 1 provides a set of norms for Mandarin Chinese single-morpheme words in mean ratings of the extent to which a word is experienced through the five sense modalities. The degrees of modality exclusivity are also provided. The collected norms are further analyzed to examine how sub-lexical orthographic representations of sense modalities in Chinese characters affect speakers' interpretation of the sensory words. In particular, we found higher modality exclusivity rating for the sense modality explicitly represented by a semantic radical component, as well as higher auditory dominant modality rating for characters with transparent phonetic symbol components. Study 2 presents the mean ratings and modality exclusivity of coordinate disyllabic compounds involving multiple sense modalities. These studies open new perspectives in the study of modality exclusivity. First, links between modality exclusivity and writing systems have been established which has strengthened previous accounts of the influence of orthography in the processing of visual information in reading. Second, a new set of modality exclusivity norms of compounds is proposed to show the competition of influence on modality exclusivity from different linguistic factors and potentially allow such norms to be linked to studies on synesthesia and semantic transparency.","['Modality (human–computer interaction)', 'Mandarin Chinese', 'Computer science', 'Computational biology', 'Biology', 'Linguistics', 'Artificial intelligence', 'Philosophy']",https://openalex.org/W2915194119,True,60,10.1371/journal.pone.0211336,modality humancomputer interaction mandarin chinese computer science computational biology biology linguistics artificial intelligence philosophy mandarin chinese modality exclusivity norms modality exclusivity norms developed different languages research relationship perceptual conceptual systems paper sets modality exclusivity norms chinese sino tibetan language semantics orthographically relevant level norms collected studies based chinese sensory words experimental designs consideration morpho lexical orthographic structures chinese study provides set norms mandarin chinese single morpheme words mean ratings extent word experienced sense modalities degrees modality exclusivity provided collected norms analyzed examine sub lexical orthographic representations sense modalities chinese characters affect speakers interpretation sensory words particular higher modality exclusivity rating sense modality explicitly represented semantic radical component higher auditory dominant modality rating characters transparent phonetic symbol components study presents mean ratings modality exclusivity coordinate disyllabic compounds involving multiple sense modalities studies open new perspectives study modality exclusivity links modality exclusivity writing systems established strengthened previous accounts influence orthography processing visual information reading second new set modality exclusivity norms compounds proposed competition influence modality exclusivity different linguistic factors potentially allow norms linked studies synesthesia semantic transparency,1
Polish norms for a set of colored drawings of 168 objects and 146 actions with predictors of naming performance,2022,10.3758/s13428-022-01923-3,Behavior Research Methods,Agata Wolna; Magdalena Łuniewska; Ewa Haman; Zofia Wodniecka,"In this study, we present the first database of pictures and their corresponding psycholinguistic norms for Polish: the CLT database. In this norming study, we used the pictures from Cross-Linguistic Lexical Tasks (CLT): a set of colored drawings of 168 object and 146 actions. The CLT pictures were carefully created to provide a valid tool for multicultural comparisons. The pictures are accompanied by norms for Naming latencies, Name agreement, Goodness of depiction, Image agreement, Concept familiarity, Age of acquisition, Imageability, Lexical frequency, and Word complexity. We also report analyses of predictors of Naming latencies for pictures of objects and actions. Our results show that Name agreement, Concept familiarity, and Lexical frequency are significant predictors of Naming latencies for pictures of both objects and actions. Additionally, Age of acquisition significantly predicts Naming latencies of pictures of objects. The CLT database is freely available at osf.io/gp9qd. The full set of CLT pictures, including additional variants of pictures, is available on request at osf.io/y2cwr.","['Age of Acquisition', 'Set (abstract data type)', 'Object (grammar)', 'Colored', 'Psychology', 'Depiction', 'Linguistics', 'Computer science', 'Cognitive psychology', 'Artificial intelligence', 'Cognition', 'Philosophy', 'Materials science', 'Neuroscience', 'Composite material', 'Programming language']",https://openalex.org/W4289262319,True,15,10.3758/s13428-022-01923-3,age acquisition set abstract data type object grammar colored psychology depiction linguistics computer science cognitive psychology artificial intelligence cognition philosophy materials science neuroscience composite material programming language polish norms set colored drawings objects actions predictors naming performance study present database pictures corresponding psycholinguistic norms polish clt database norming study used pictures cross linguistic lexical tasks clt set colored drawings object actions clt pictures carefully created provide valid tool multicultural comparisons pictures accompanied norms naming latencies agreement goodness depiction image agreement concept familiarity age acquisition imageability lexical frequency word complexity report analyses predictors naming latencies pictures objects actions results agreement concept familiarity lexical frequency significant predictors naming latencies pictures objects actions additionally age acquisition significantly predicts naming latencies pictures objects clt database freely available osf io gp qd set clt pictures including additional variants pictures available request osf io y cwr,1
Quantifying social semantics: An inclusive definition of socialness and ratings for 8388 English words,2022,10.3758/s13428-022-01810-x,Behavior Research Methods,Veronica Diveica; Penny M. Pexman; Richard J. Binney,"It has been proposed that social experience plays an important role in the grounding of concepts, and socialness has been proffered as a fundamental organisational principle underpinning semantic representation in the human brain. However, the empirical support for these hypotheses is limited by inconsistencies in the way socialness has been defined and measured. To further advance theory, the field must establish a clearer working definition, and research efforts could be facilitated by the availability of an extensive set of socialness ratings for individual concepts. Therefore, in the current work, we employed a novel and inclusive definition to test the extent to which socialness is reliably perceived as a broad construct, and we report socialness norms for over 8000 English words, including nouns, verbs, and adjectives. Our inclusive socialness measure shows good reliability and validity, and our analyses suggest that the socialness ratings capture aspects of word meaning which are distinct to those measured by other pertinent semantic constructs, including concreteness and emotional valence. Finally, in a series of regression analyses, we show for the first time that the socialness of a word's meaning explains unique variance in participant performance on lexical tasks. Our dataset of socialness norms has considerable item overlap with those used in both other lexical/semantic norms and in available behavioural mega-studies. They can help target testable predictions about brain and behaviour derived from multiple representation theories and neurobiological accounts of social semantics.","['Concreteness', 'Noun', 'Psychology', 'Cognitive psychology', 'Semantics (computer science)', 'Meaning (existential)', 'Computer science', 'Natural language processing', 'Linguistics', 'Philosophy', 'Psychotherapist', 'Programming language']",https://openalex.org/W4221022654,True,55,10.3758/s13428-022-01810-x,concreteness noun psychology cognitive psychology semantics computer science meaning existential computer science natural language processing linguistics philosophy psychotherapist programming language quantifying social semantics inclusive definition socialness ratings english words proposed social experience plays important role grounding concepts socialness proffered fundamental organisational principle underpinning semantic representation human brain empirical support hypotheses limited inconsistencies way socialness defined measured advance theory field establish clearer working definition research efforts facilitated availability extensive set socialness ratings individual concepts current work employed novel inclusive definition test extent socialness reliably perceived broad construct report socialness norms english words including nouns verbs adjectives inclusive socialness measure shows good reliability validity analyses suggest socialness ratings capture aspects word meaning distinct measured pertinent semantic constructs including concreteness emotional valence finally series regression analyses time socialness word meaning explains unique variance participant performance lexical tasks dataset socialness norms considerable item overlap used lexical semantic norms available behavioural mega studies help target testable predictions brain behaviour derived multiple representation theories neurobiological accounts social semantics,1
Italian Age of Acquisition Norms for a Large Set of Words (ItAoA),2019,10.3389/fpsyg.2019.00278,Frontiers in Psychology,Maria Montefinese; David Vinson; Gabriella Vigliocco; Ettore Ambrosini,"Age of acquisition (AoA) is an important psycholinguistic variable that affects the performance of healthy individuals and patients in a large variety of cognitive tasks. For this reason, it becomes more and more compelling to collect new AoA norms for a large set of stimuli in order to allow better control and manipulation of AoA in future research. An important motivation of the present study is to extend previous Italian norms by collecting AoA ratings for a much larger range of Italian words for which concreteness and semantic-affective norms are now available thus ensuring greater coverage of words varying along these dimensions. In the present study, we collected AoA ratings for 1,957 Italian content words (adjectives, nouns and verbs), by asking healthy adult participants to estimate the age at which they thought they had learnt the word in a Web survey procedure. First, we found high split-half correlation within our sample, suggesting strong internal reliability. Second, our data indicate that the ratings collected in this study are as valid and reliable as those collected in previous studies for Italian across different age populations (adult and children) and other languages. Finally, we analyzed the relation between AoA ratings and other lexical-semantic variables (e.g. word frequency, imageability, valence, arousal) and showed that these correlations were generally consistent with the correlations reported in other normative studies for Italian and other languages. Therefore, our new AoA norms are a valuable source of information for future research in the Italian language. The full database is available at the Open Science Framework (osf.io/3trg2).","['Age of Acquisition', 'Concreteness', 'Psychology', 'Normative', 'Noun', 'Set (abstract data type)', 'Cognition', 'Variety (cybernetics)', 'Correlation', 'Cognitive psychology', 'Valence (chemistry)', 'Social psychology', 'Linguistics', 'Developmental psychology', 'Computer science', 'Natural language processing', 'Artificial intelligence', 'Philosophy', 'Physics', 'Geometry', 'Mathematics', 'Epistemology', 'Quantum mechanics', 'Neuroscience', 'Programming language']",https://openalex.org/W2912471296,True,32,10.3389/fpsyg.2019.00278,age acquisition concreteness psychology normative noun set abstract data type cognition variety cybernetics correlation cognitive psychology valence chemistry social psychology linguistics developmental psychology computer science natural language processing artificial intelligence philosophy physics geometry mathematics epistemology quantum mechanics neuroscience programming language italian age acquisition norms large set words itaoa age acquisition aoa important psycholinguistic variable affects performance healthy individuals patients large variety cognitive tasks reason compelling collect new aoa norms large set stimuli order allow better control manipulation aoa future research important motivation present study extend previous italian norms collecting aoa ratings larger range italian words concreteness semantic affective norms available ensuring greater coverage words varying dimensions present study collected aoa ratings italian content words adjectives nouns verbs asking healthy adult participants estimate age thought learnt word web survey procedure high split half correlation sample suggesting strong internal reliability second data indicate ratings collected study valid reliable collected previous studies italian different age populations adult children languages finally analyzed relation aoa ratings lexical semantic variables e g word frequency imageability valence arousal showed correlations generally consistent correlations reported normative studies italian languages new aoa norms valuable source information future research italian language database available open science framework osf io trg,1
A Compendium of Core Lexicon Checklists,2019,10.1055/s-0039-3400972,Seminars in Speech and Language,Sarah Grace Dalton; Hana Kim; Jessica D. Richardson; Heather Harris Wright,"Core Lexicon (CoreLex) is a relatively new approach assessing lexical use in discourse. CoreLex examines the specific lexical items used to tell a story, or how typical lexical items are compared with a normative sample. This method has great potential for clinical utilization because CoreLex measures are fast, easy to administer, and correlate with microlinguistic and macrolinguistic discourse measures. The purpose of this article is to provide clinicians with a centralized resource for currently available CoreLex checklists, including information regarding development, norms, and guidelines for use.","['Compendium', 'Lexicon', 'Core (optical fiber)', 'Natural language processing', 'Computer science', 'Linguistics', 'Philosophy', 'Telecommunications']",https://openalex.org/W2997540184,True,27,10.1055/s-0039-3400972,compendium lexicon core optical fiber natural language processing computer science linguistics philosophy telecommunications compendium core lexicon checklists core lexicon corelex relatively new approach assessing lexical use discourse corelex examines specific lexical items used tell story typical lexical items compared normative sample method great potential clinical utilization corelex measures fast easy administer correlate microlinguistic macrolinguistic discourse measures purpose article provide clinicians centralized resource currently available corelex checklists including information regarding development norms guidelines use,1
