Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Checking and bootstrapping lexical norms by means of word similarity indexes","Behavior Research Methods","","44","4","10.3758/s13428-012-0195-z","Yves BestgenNadja Vincze","2012","http://link.springer.com/article/10.3758/s13428-012-0195-z","Article"
"Early vocabulary inventory for Mandarin Chinese","Behavior Research Methods","","40","3","10.3758/BRM.40.3.728","Meiling HaoHua ShuAiling XingPing Li","2008","http://link.springer.com/article/10.3758/BRM.40.3.728","Article"
"Lexical development norms for young children","Behavior Research Methods, Instruments, & Computers","","28","1","10.3758/BF03203646","Philip S. DaleLarry Fenson","1996","http://link.springer.com/article/10.3758/BF03203646","Article"
"Introduction to special issue. Beyond the lab: Using big data to discover principles of cognition","Behavior Research Methods","","","","10.3758/s13428-019-01278-2","Gary LupyanRobert L. Goldstone","2019","http://link.springer.com/article/10.3758/s13428-019-01278-2","Article"
"Humor norms for 4,997 English words","Behavior Research Methods","","50","3","10.3758/s13428-017-0930-6","Tomas EngelthalerThomas T. Hills","2018","http://link.springer.com/article/10.3758/s13428-017-0930-6","Article"
"Semantic properties, aptness, familiarity, conventionality, and interpretive diversity scores for 84 metaphors and similes","Behavior Research Methods","","47","3","10.3758/s13428-014-0502-y","Carlos RonceroRoberto G. de Almeida","2015","http://link.springer.com/article/10.3758/s13428-014-0502-y","Article"
"Norms of valence, arousal, dominance, and age of acquisition for 4,300 Dutch words","Behavior Research Methods","","45","1","10.3758/s13428-012-0243-8","Agnes MoorsJan De HouwerDirk HermansSabine WanmakerKevin van SchieAnne-Laura Van HarmelenMaarten De SchryverJeffrey De WinneMarc Brysbaert","2013","http://link.springer.com/article/10.3758/s13428-012-0243-8","Article"
"Norms of valence, arousal, concreteness, familiarity, imageability, and context availability for 1,100 Chinese words","Behavior Research Methods","","49","4","10.3758/s13428-016-0793-2","Zhao YaoJia WuYanyan ZhangZhenhong Wang","2017","http://link.springer.com/article/10.3758/s13428-016-0793-2","Article"
"Dutch taboo norms","Behavior Research Methods","","50","2","10.3758/s13428-017-0890-x","Sander A. RoestTessa A. VisserRené Zeelenberg","2018","http://link.springer.com/article/10.3758/s13428-017-0890-x","Article"
"Spanish norms for age of acquisition, concept familiarity, lexical frequency, manipulability, typicality, and other variables for 820 words from 14 living/nonliving concepts","Behavior Research Methods","","46","4","10.3758/s13428-013-0435-x","F. Javier Moreno-MartínezPedro R. MontoroInmaculada C. Rodríguez-Rojo","2014","http://link.springer.com/article/10.3758/s13428-013-0435-x","Article"
