Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Provo Corpus: A large eye-tracking corpus with predictability norms","Behavior Research Methods","","50","2","10.3758/s13428-017-0908-4","Steven G. LukeKiel Christianson","2018","http://link.springer.com/article/10.3758/s13428-017-0908-4","Article"
"Verb subcategorization frequencies: American English corpus data, methodological studies, and cross-corpus comparisons","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195591","Susanne GahlDan JurafskyDouglas Roland","2004","http://link.springer.com/article/10.3758/BF03195591","Article"
"The effect of corpus size in predicting reaction time in a basic word recognition task: Moving on from Kučera and Francis","Behavior Research Methods, Instruments, & Computers","","30","2","10.3758/BF03200655","Curt BurgessKay Livesay","1998","http://link.springer.com/article/10.3758/BF03200655","Article"
"A corpus of consonant–vowel–consonant real words and nonwords: Comparison of phonotactic probability, neighborhood density, and consonant age of acquisition","Behavior Research Methods","","45","4","10.3758/s13428-012-0309-7","Holly L. Storkel","2013","http://link.springer.com/article/10.3758/s13428-012-0309-7","Article"
"When do primes go bad? A corpus of orthographically related primes that inhibit fragment completion","Behavior Research Methods","","39","4","10.3758/BF03192981","Olga RassP. Andrew Leynes","2007","http://link.springer.com/article/10.3758/BF03192981","Article"
"Russian Sentence Corpus: Benchmark measures of eye movements in reading in Russian","Behavior Research Methods","","51","3","10.3758/s13428-018-1051-6","Anna K. LaurinavichyuteIrina A. SekerinaSvetlana AlexeevaKristine BagdasaryanReinhold Kliegl","2019","http://link.springer.com/article/10.3758/s13428-018-1051-6","Article"
"A frequency count of 190,000 words in theLondon-Lund Corpus of English Conversation","Behavior Research Methods, Instruments, & Computers","","16","6","10.3758/BF03200836","Gordon D. A. Brown","1984","http://link.springer.com/article/10.3758/BF03200836","Article"
"On the predictive validity of various corpus-based frequency norms in L2 English lexical processing","Behavior Research Methods","","50","1","10.3758/s13428-017-1001-8","Xiaocong ChenYanping DongXiufen Yu","2018","http://link.springer.com/article/10.3758/s13428-017-1001-8","Article"
"Frequency of occurrence for units of phonemes, morae, and syllables appearing in a lexical corpus of a Japanese newspaper","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195600","Katsuo TamaokaShogo Makioka","2004","http://link.springer.com/article/10.3758/BF03195600","Article"
"Champagne, beer, or coffee? A corpus of gender-related and neutral words","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195592","Jarret T. CrawfordP. Andrew LeynesChristopher B. MayhornMartin L. Bink","2004","http://link.springer.com/article/10.3758/BF03195592","Article"
"Performance impact of stop lists and morphological decomposition on word–word corpus-based semantic space models","Behavior Research Methods","","47","3","10.3758/s13428-015-0614-z","Jeff KeithChris WestburyJames Goldman","2015","http://link.springer.com/article/10.3758/s13428-015-0614-z","Article"
"Nonlinguistic vocalizations from online amateur videos for emotion research: A validated corpus","Behavior Research Methods","","49","2","10.3758/s13428-016-0736-y","Andrey AnikinTomas Persson","2017","http://link.springer.com/article/10.3758/s13428-016-0736-y","Article"
"Presenting GECO: An eyetracking corpus of monolingual and bilingual sentence reading","Behavior Research Methods","","49","2","10.3758/s13428-016-0734-0","Uschi CopNicolas DirixDenis DriegheWouter Duyck","2017","http://link.springer.com/article/10.3758/s13428-016-0734-0","Article"
"Implicit causality bias in English: a corpus of 300 verbs","Behavior Research Methods","","43","1","10.3758/s13428-010-0023-2","Evelyn C. FerstlAlan GarnhamChristina Manouilidou","2011","http://link.springer.com/article/10.3758/s13428-010-0023-2","Article"
"When voices get emotional: A corpus of nonverbal vocalizations for research on emotion processing","Behavior Research Methods","","45","4","10.3758/s13428-013-0324-3","César F. LimaSão Luís CastroSophie K. Scott","2013","http://link.springer.com/article/10.3758/s13428-013-0324-3","Article"
"Semantic ambiguity effects on traditional Chinese character naming: A corpus-based approach","Behavior Research Methods","","50","6","10.3758/s13428-017-0993-4","Ya-Ning ChangChia-Ying Lee","2018","http://link.springer.com/article/10.3758/s13428-017-0993-4","Article"
"Automatic disambiguation of morphosyntax in spoken language corpora","Behavior Research Methods, Instruments, & Computers","","32","3","10.3758/BF03200818","Christophe ParisseMarie-thérèse Le Normand","2000","http://link.springer.com/article/10.3758/BF03200818","Article"
"An online calculator to compute phonotactic probability and neighborhood density on the basis of child corpora of spoken American English","Behavior Research Methods","","42","2","10.3758/BRM.42.2.497","Holly L. StorkelJill R. Hoover","2010","http://link.springer.com/article/10.3758/BRM.42.2.497","Article"
"Moving beyond Kučera and Francis: A critical evaluation of current word frequency norms and the introduction of a new and improved word frequency measure for American English","Behavior Research Methods","","41","4","10.3758/BRM.41.4.977","Marc BrysbaertBoris New","2009","http://link.springer.com/article/10.3758/BRM.41.4.977","Article"
"Corpora of Vietnamese Texts: Lexical effects of intended audience and publication place","Behavior Research Methods","","40","1","10.3758/BRM.40.1.154","Giang PhamKathryn KohnertEdward Carney","2008","http://link.springer.com/article/10.3758/BRM.40.1.154","Article"
"Extracting semantic representations from word co-occurrence statistics: A computational study","Behavior Research Methods","","39","3","10.3758/BF03193020","John A. BullinariaJoseph P. Levy","2007","http://link.springer.com/article/10.3758/BF03193020","Article"
"Large-scale databases of proper names","Behavior Research Methods, Instruments, & Computers","","31","2","10.3758/BF03207713","Patrick ConleyCurt BurgessDotty Hage","1999","http://link.springer.com/article/10.3758/BF03207713","Article"
"SUBTLEX-CAT: Subtitle word frequencies and contextual diversity for Catalan","Behavior Research Methods","","","","10.3758/s13428-019-01233-1","Roger BoadaMarc GuaschJuan HaroJosep DemestrePilar Ferré","2019","http://link.springer.com/article/10.3758/s13428-019-01233-1","Article"
"Feedforward, -backward, and neutral transparency measures for Grade 1 and Grade 2 Greek readers","Behavior Research Methods","","42","1","10.3758/BRM.42.1.96","Kenneth A. SpencerNataly LoizidouJackie Mas Terson","2010","http://link.springer.com/article/10.3758/BRM.42.1.96","Article"
"Dealing with zero word frequencies: A review of the existing rules of thumb and a suggestion for an evidence-based choice","Behavior Research Methods","","45","2","10.3758/s13428-012-0270-5","Marc BrysbaertKevin Diependaele","2013","http://link.springer.com/article/10.3758/s13428-012-0270-5","Article"
"Automatic parsing of parental verbal input","Behavior Research Methods, Instruments, & Computers","","36","1","10.3758/BF03195557","Kenji SagaeBrian MacWhinneyAlon Lavie","2004","http://link.springer.com/article/10.3758/BF03195557","Article"
"Feedforward, -backward, and neutral transparency measures for British English","Behavior Research Methods","","41","1","10.3758/BRM.41.1.220","Kenneth A. Spencer","2009","http://link.springer.com/article/10.3758/BRM.41.1.220","Article"
"Case-sensitive letter and bigram frequency counts from large-scale English corpora","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195586","Michael N. JonesD. J. K. Mewhort","2004","http://link.springer.com/article/10.3758/BF03195586","Article"
"More data trumps smarter algorithms: Comparing pointwise mutual information with latent semantic analysis","Behavior Research Methods","","41","3","10.3758/BRM.41.3.647","Gabriel RecchiaMichael N. Jones","2009","http://link.springer.com/article/10.3758/BRM.41.3.647","Article"
"Extracting semantic representations from word co-occurrence statistics: stop-lists, stemming, and SVD","Behavior Research Methods","","44","3","10.3758/s13428-011-0183-8","John A. BullinariaJoseph P. Levy","2012","http://link.springer.com/article/10.3758/s13428-011-0183-8","Article"
"WordSeg: Standardizing unsupervised word form segmentation from text","Behavior Research Methods","","","","10.3758/s13428-019-01223-3","Mathieu BernardRoland ThiolliereAmanda SaksidaGeorgia R. LoukatouElin LarsenMark JohnsonLaia FiblaEmmanuel DupouxRobert DalandXuan Nga CaoAlejandrina Cristia","2019","http://link.springer.com/article/10.3758/s13428-019-01223-3","Article"
"A computational approach to modeling population differences","Behavior Research Methods, Instruments, & Computers","","32","2","10.3758/BF03207795","Patrick ConleyCurt Burgess","2000","http://link.springer.com/article/10.3758/BF03207795","Article"
"MANULEX: A grade-level lexical database from French elementary school readers","Behavior Research Methods, Instruments, & Computers","","36","1","10.3758/BF03195560","Bernard LétéLiliane Sprenger-CharollesPascale Colé","2004","http://link.springer.com/article/10.3758/BF03195560","Article"
"Effect of tuned parameters on an LSA multiple choice questions answering model","Behavior Research Methods","","41","4","10.3758/BRM.41.4.1201","Alain LifchitzSandra Jhean-LaroseGuy Denhière","2009","http://link.springer.com/article/10.3758/BRM.41.4.1201","Article"
"Gender bias at scale: Evidence from the usage of personal names","Behavior Research Methods","","","","10.3758/s13428-019-01234-0","Brendan T. JohnsMelody Dye","2019","http://link.springer.com/article/10.3758/s13428-019-01234-0","Article"
"Word frequency effects in high-dimensional co-occurrence models: A new approach","Behavior Research Methods","","38","2","10.3758/BF03192768","Cyrus ShaoulChris Westbury","2006","http://link.springer.com/article/10.3758/BF03192768","Article"
"Computerizing reading training: Evaluation of a latent semantic analysis space for science text","Behavior Research Methods, Instruments, & Computers","","35","2","10.3758/BF03202547","Christopher A. KurbyKatja Wiemer-HastingsNagasai GanduriJoseph P. MaglianoKeith K. MillisDanielle S. McNamara","2003","http://link.springer.com/article/10.3758/BF03202547","Article"
"Visualizing multiple word similarity measures","Behavior Research Methods","","44","3","10.3758/s13428-012-0236-7","Brent Kievit-KylarMichael N. Jones","2012","http://link.springer.com/article/10.3758/s13428-012-0236-7","Article"
"Contextual self-organizing map: software for constructing semantic representations","Behavior Research Methods","","43","1","10.3758/s13428-010-0042-z","Xiaowei ZhaoPing LiTeuvo Kohonen","2011","http://link.springer.com/article/10.3758/s13428-010-0042-z","Article"
"Analyzing social media data: A mixed-methods framework combining computational and qualitative text analysis","Behavior Research Methods","","","","10.3758/s13428-019-01202-8","Matthew AndreottaRobertus NugrohoMark J. HurlstoneFabio BoschettiSimon FarrellIain WalkerCecile Paris","2019","http://link.springer.com/article/10.3758/s13428-019-01202-8","Article"
"Aralex: A lexical database for Modern Standard Arabic","Behavior Research Methods","","42","2","10.3758/BRM.42.2.481","Sami BoudelaaWilliam D. Marslen-Wilson","2010","http://link.springer.com/article/10.3758/BRM.42.2.481","Article"
"A Japanese logographic character frequency list for cognitive science research","Behavior Research Methods, Instruments, & Computers","","32","3","10.3758/BF03200819","Nobuko ChikamatsuShoichi YokoyamaHironari NozakiEric LongSachio Fukuda","2000","http://link.springer.com/article/10.3758/BF03200819","Article"
"Exploring lexical co-occurrence space using HiDEx","Behavior Research Methods","","42","2","10.3758/BRM.42.2.393","Cyrus ShaoulChris Westbury","2010","http://link.springer.com/article/10.3758/BRM.42.2.393","Article"
"Procura-PALavras (P-PAL): A Web-based interface for a new European Portuguese lexical database","Behavior Research Methods","","50","4","10.3758/s13428-018-1058-z","Ana Paula SoaresÁlvaro IriarteJosé João de AlmeidaAlberto SimõesAna CostaJoão MachadoPatrícia FrançaMontserrat ComesañaAndreia RauberAnabela RatoManuel Perea","2018","http://link.springer.com/article/10.3758/s13428-018-1058-z","Article"
"AlignTool: The automatic temporal alignment of spoken utterances in German, Dutch, and British English for psycholinguistic purposes","Behavior Research Methods","","50","2","10.3758/s13428-017-1002-7","Lars SchillingmannJessica ErnstVerena KeiteBritta WredeAntje S. MeyerEva Belke","2018","http://link.springer.com/article/10.3758/s13428-017-1002-7","Article"
"Imageability and distributional typicality measures of nouns and verbs in contemporary English","Behavior Research Methods, Instruments, & Computers","","31","4","10.3758/BF03200739","Christine ChiarelloConnie ShearsKevin Lund","1999","http://link.springer.com/article/10.3758/BF03200739","Article"
"SyllabO+: A new tool to study sublexical phenomena in spoken Quebec French","Behavior Research Methods","","49","5","10.3758/s13428-016-0829-7","Pascale BédardAnne-Marie AudetPatrick DrouinJohanna-Pascale RoyJulie RivardPascale Tremblay","2017","http://link.springer.com/article/10.3758/s13428-016-0829-7","Article"
"Subtlex-pl: subtitle-based word frequency estimates for Polish","Behavior Research Methods","","47","2","10.3758/s13428-014-0489-4","Paweł ManderaEmmanuel KeuleersZofia WodnieckaMarc Brysbaert","2015","http://link.springer.com/article/10.3758/s13428-014-0489-4","Article"
"The Massive Auditory Lexical Decision (MALD) database","Behavior Research Methods","","51","3","10.3758/s13428-018-1056-1","Benjamin V. TuckerDaniel BrennerD. Kyle DanielsonMatthew C. KelleyFilip NenadićMichelle Sims","2019","http://link.springer.com/article/10.3758/s13428-018-1056-1","Article"
"Identifying topic sentencehood","Behavior Research Methods","","40","3","10.3758/BRM.40.3.647","Philip M. McCarthyAdam M. RennerMichael G. DuncanNicholas D. DuranErin J. LightmanDanielle S. McNamara","2008","http://link.springer.com/article/10.3758/BRM.40.3.647","Article"
"C-CAT: A computer software used to analyze and select Chinese characters and character components for psychological research","Behavior Research Methods","","40","4","10.3758/BRM.40.4.1098","Ming LoChih-Wei Hue","2008","http://link.springer.com/article/10.3758/BRM.40.4.1098","Article"
"WINDSOR: Windsor improved norms of distance and similarity of representations of semantics","Behavior Research Methods","","40","3","10.3758/BRM.40.3.705","Kevin DurdaLori Buchanan","2008","http://link.springer.com/article/10.3758/BRM.40.3.705","Article"
"MTLD, vocd-D, and HD-D: A validation study of sophisticated approaches to lexical diversity assessment","Behavior Research Methods","","42","2","10.3758/BRM.42.2.381","Philip M. McCarthyScott Jarvis","2010","http://link.springer.com/article/10.3758/BRM.42.2.381","Article"
"Praat script to detect syllable nuclei and measure speech rate automatically","Behavior Research Methods","","41","2","10.3758/BRM.41.2.385","Nivja H. de JongTon Wempe","2009","http://link.springer.com/article/10.3758/BRM.41.2.385","Article"
"ESCOLEX: A grade-level lexical database from European Portuguese elementary to middle school textbooks","Behavior Research Methods","","46","1","10.3758/s13428-013-0350-1","Ana Paula SoaresJosé Carlos MedeirosAlberto SimõesJoão MachadoAna CostaÁlvaro IriarteJosé João de AlmeidaAna P. PinheiroMontserrat Comesaña","2014","http://link.springer.com/article/10.3758/s13428-013-0350-1","Article"
"Adding part-of-speech information to the SUBTLEX-US word frequencies","Behavior Research Methods","","44","4","10.3758/s13428-012-0190-4","Marc BrysbaertBoris NewEmmanuel Keuleers","2012","http://link.springer.com/article/10.3758/s13428-012-0190-4","Article"
"Type and token frequencies of phonological units in Hong Kong Cantonese","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195596","Man-Tak LeungSam-Po LawSuk-Yee Fung","2004","http://link.springer.com/article/10.3758/BF03195596","Article"
"A computational model for simulating text comprehension","Behavior Research Methods","","38","4","10.3758/BF03193895","Benoît LemaireGuy DenhièreCédrick BellissensSandra Jhean-Larose","2006","http://link.springer.com/article/10.3758/BF03193895","Article"
"N-Watch: A program for deriving neighborhood size and other psycholinguistic statistics","Behavior Research Methods","","37","1","10.3758/BF03206399","Colin J. Davis","2005","http://link.springer.com/article/10.3758/BF03206399","Article"
"Oral frequency norms for 67,979 Spanish words","Behavior Research Methods","","43","2","10.3758/s13428-011-0062-3","María Angeles AlonsoAngel FernandezEmiliano Díez","2011","http://link.springer.com/article/10.3758/s13428-011-0062-3","Article"
"A comparative quantitative analysis of Greek orthographic transparency","Behavior Research Methods","","41","4","10.3758/BRM.41.4.991","Athanassios ProtopapasEleni L. Vlahou","2009","http://link.springer.com/article/10.3758/BRM.41.4.991","Article"
"Unprimed stem completion is only moderately predicted by word frequency and length","Behavior Research Methods, Instruments, & Computers","","29","3","10.3758/BF03200594","Raymond J. Shaw","1997","http://link.springer.com/article/10.3758/BF03200594","Article"
"E-Hitz: A word frequency list and a program for deriving psycholinguistic statistics in an agglutinative language (Basque)","Behavior Research Methods","","38","4","10.3758/BF03193893","Manuel PereaMiriam UrkiaColin J. DavisAinhoa AgirreEdurne LasekaManuel Carreiras","2006","http://link.springer.com/article/10.3758/BF03193893","Article"
"Think of the consequences: A decade of discourse about same-sex marriage","Behavior Research Methods","","","","10.3758/s13428-019-01215-3","Babak HemmatianSabina J. SlomanUriel Cohen PrivaSteven A. Sloman","2019","http://link.springer.com/article/10.3758/s13428-019-01215-3","Article"
"SUBTLEX-NL: A new measure for Dutch word frequency based on film subtitles","Behavior Research Methods","","42","3","10.3758/BRM.42.3.643","Emmanuel KeuleersMarc BrysbaertBoris New","2010","http://link.springer.com/article/10.3758/BRM.42.3.643","Article"
"QUAID: A questionnaire evaluation aid for survey methodologists","Behavior Research Methods, Instruments, & Computers","","32","2","10.3758/BF03207792","Arthur C. GraesserKatja Wiemer-hastingsRoger KreuzPeter Wiemer-hastingsKent Marquis","2000","http://link.springer.com/article/10.3758/BF03207792","Article"
"K-SPAN: A lexical database of Korean surface phonetic forms and phonological neighborhood density statistics","Behavior Research Methods","","49","5","10.3758/s13428-016-0836-8","Jeffrey J. HollidayRory TurnbullJulien Eychenne","2017","http://link.springer.com/article/10.3758/s13428-016-0836-8","Article"
"Sentiment Analysis and Social Cognition Engine (SEANCE): An automatic tool for sentiment, social cognition, and social-order analysis","Behavior Research Methods","","49","3","10.3758/s13428-016-0743-z","Scott A. CrossleyKristopher KyleDanielle S. McNamara","2017","http://link.springer.com/article/10.3758/s13428-016-0743-z","Article"
"The tool for the automatic analysis of lexical sophistication (TAALES): version 2.0","Behavior Research Methods","","50","3","10.3758/s13428-017-0924-4","Kristopher KyleScott CrossleyCynthia Berger","2018","http://link.springer.com/article/10.3758/s13428-017-0924-4","Article"
"Chinese lexical database (CLD)","Behavior Research Methods","","50","6","10.3758/s13428-018-1038-3","Ching Chu SunPeter HendrixJianqiang MaRolf Harald Baayen","2018","http://link.springer.com/article/10.3758/s13428-018-1038-3","Article"
"Taming big data: Applying the experimental method to naturalistic data sets","Behavior Research Methods","","","","10.3758/s13428-018-1185-6","Eyal Sagi","2019","http://link.springer.com/article/10.3758/s13428-018-1185-6","Article"
"childLex: a lexical database of German read by children","Behavior Research Methods","","47","4","10.3758/s13428-014-0528-1","Sascha SchroederKay-Michael WürznerJulian HeisterAlexander GeykenReinhold Kliegl","2015","http://link.springer.com/article/10.3758/s13428-014-0528-1","Article"
"The Chinese Lexicon Project: A repository of lexical decision behavioral responses for 2,500 Chinese characters","Behavior Research Methods","","46","1","10.3758/s13428-013-0355-9","Wei Ping SzeSusan J. Rickard LiowMelvin J. Yap","2014","http://link.springer.com/article/10.3758/s13428-013-0355-9","Article"
