,precision0,recall0,f1 score0
100_3,0.8743718592964824,0.9015544041450777,0.8877551020408162
200_3,0.8781725888324873,0.8963730569948186,0.8871794871794872
300_3,0.8693467336683417,0.8963730569948186,0.8826530612244897
400_3,0.0,0.0,0.0
500_3,0.0,0.0,0.0
600_3,0.0,0.0,0.0
700_3,0.0,0.0,0.0
800_3,0.0,0.0,0.0
900_3,0.0,0.0,0.0
1000_3,0.0,0.0,0.0
1100_3,0.0,0.0,0.0
1200_3,0.0,0.0,0.0
1300_3,0.0,0.0,0.0
1400_3,0.0,0.0,0.0
1500_3,0.0,0.0,0.0
1600_3,0.0,0.0,0.0
1700_3,0.0,0.0,0.0
1800_3,0.0,0.0,0.0
1900_3,0.0,0.0,0.0
2000_3,0.0,0.0,0.0
2100_3,0.0,0.0,0.0
2200_3,0.0,0.0,0.0
2300_3,0.0,0.0,0.0
2400_3,0.0,0.0,0.0
2500_3,0.0,0.0,0.0
2600_3,0.0,0.0,0.0
2700_3,0.0,0.0,0.0
2800_3,0.0,0.0,0.0
2900_3,0.0,0.0,0.0
3000_3,0.0,0.0,0.0
3100_3,0.0,0.0,0.0
3200_3,0.0,0.0,0.0
3300_3,0.0,0.0,0.0
3400_3,0.0,0.0,0.0
3500_3,0.0,0.0,0.0
3600_3,0.0,0.0,0.0
3700_3,0.0,0.0,0.0
3800_3,0.0,0.0,0.0
3900_3,0.0,0.0,0.0
4000_3,0.0,0.0,0.0
100_4,0.0,0.0,0.0
200_4,0.0,0.0,0.0
300_4,0.0,0.0,0.0
400_4,0.0,0.0,0.0
500_4,0.0,0.0,0.0
600_4,0.0,0.0,0.0
700_4,0.0,0.0,0.0
800_4,0.0,0.0,0.0
900_4,0.0,0.0,0.0
1000_4,0.0,0.0,0.0
1100_4,0.0,0.0,0.0
1200_4,0.0,0.0,0.0
1300_4,0.0,0.0,0.0
1400_4,0.0,0.0,0.0
1500_4,0.0,0.0,0.0
1600_4,0.0,0.0,0.0
1700_4,0.0,0.0,0.0
1800_4,0.0,0.0,0.0
1900_4,0.0,0.0,0.0
2000_4,0.0,0.0,0.0
2100_4,0.0,0.0,0.0
2200_4,0.0,0.0,0.0
2300_4,0.0,0.0,0.0
2400_4,0.0,0.0,0.0
2500_4,0.0,0.0,0.0
2600_4,0.0,0.0,0.0
2700_4,0.0,0.0,0.0
2800_4,0.0,0.0,0.0
2900_4,0.0,0.0,0.0
3000_4,0.0,0.0,0.0
3100_4,0.0,0.0,0.0
3200_4,0.0,0.0,0.0
3300_4,0.0,0.0,0.0
3400_4,0.0,0.0,0.0
3500_4,0.0,0.0,0.0
3600_4,0.0,0.0,0.0
3700_4,0.0,0.0,0.0
3800_4,0.0,0.0,0.0
3900_4,0.0,0.0,0.0
4000_4,0.0,0.0,0.0
100_5,0.0,0.0,0.0
200_5,0.0,0.0,0.0
300_5,0.0,0.0,0.0
400_5,0.0,0.0,0.0
500_5,0.0,0.0,0.0
600_5,0.0,0.0,0.0
700_5,0.0,0.0,0.0
800_5,0.0,0.0,0.0
900_5,0.0,0.0,0.0
1000_5,0.0,0.0,0.0
1100_5,0.0,0.0,0.0
1200_5,0.0,0.0,0.0
1300_5,0.0,0.0,0.0
1400_5,0.0,0.0,0.0
1500_5,0.0,0.0,0.0
1600_5,0.0,0.0,0.0
1700_5,0.0,0.0,0.0
1800_5,0.0,0.0,0.0
1900_5,0.0,0.0,0.0
2000_5,0.0,0.0,0.0
2100_5,0.0,0.0,0.0
2200_5,0.0,0.0,0.0
2300_5,0.0,0.0,0.0
2400_5,0.0,0.0,0.0
2500_5,0.0,0.0,0.0
2600_5,0.0,0.0,0.0
2700_5,0.0,0.0,0.0
2800_5,0.0,0.0,0.0
2900_5,0.0,0.0,0.0
3000_5,0.0,0.0,0.0
3100_5,0.0,0.0,0.0
3200_5,0.0,0.0,0.0
3300_5,0.0,0.0,0.0
3400_5,0.0,0.0,0.0
3500_5,0.0,0.0,0.0
3600_5,0.0,0.0,0.0
3700_5,0.0,0.0,0.0
3800_5,0.0,0.0,0.0
3900_5,0.0,0.0,0.0
4000_5,0.0,0.0,0.0
100_6,0.0,0.0,0.0
200_6,0.0,0.0,0.0
300_6,0.0,0.0,0.0
400_6,0.0,0.0,0.0
500_6,0.0,0.0,0.0
600_6,0.0,0.0,0.0
700_6,0.0,0.0,0.0
800_6,0.0,0.0,0.0
900_6,0.0,0.0,0.0
1000_6,0.0,0.0,0.0
1100_6,0.0,0.0,0.0
1200_6,0.0,0.0,0.0
1300_6,0.0,0.0,0.0
1400_6,0.0,0.0,0.0
1500_6,0.0,0.0,0.0
1600_6,0.0,0.0,0.0
1700_6,0.0,0.0,0.0
1800_6,0.0,0.0,0.0
1900_6,0.0,0.0,0.0
2000_6,0.0,0.0,0.0
2100_6,0.0,0.0,0.0
2200_6,0.0,0.0,0.0
2300_6,0.0,0.0,0.0
2400_6,0.0,0.0,0.0
2500_6,0.0,0.0,0.0
2600_6,0.0,0.0,0.0
2700_6,0.0,0.0,0.0
2800_6,0.0,0.0,0.0
2900_6,0.0,0.0,0.0
3000_6,0.0,0.0,0.0
3100_6,0.0,0.0,0.0
3200_6,0.0,0.0,0.0
3300_6,0.0,0.0,0.0
3400_6,0.0,0.0,0.0
3500_6,0.0,0.0,0.0
3600_6,0.0,0.0,0.0
3700_6,0.0,0.0,0.0
3800_6,0.0,0.0,0.0
3900_6,0.0,0.0,0.0
4000_6,0.0,0.0,0.0
100_7,0.0,0.0,0.0
200_7,0.0,0.0,0.0
300_7,0.0,0.0,0.0
400_7,0.0,0.0,0.0
500_7,0.0,0.0,0.0
600_7,0.0,0.0,0.0
700_7,0.0,0.0,0.0
800_7,0.0,0.0,0.0
900_7,0.0,0.0,0.0
1000_7,0.0,0.0,0.0
1100_7,0.0,0.0,0.0
1200_7,0.0,0.0,0.0
1300_7,0.0,0.0,0.0
1400_7,0.0,0.0,0.0
1500_7,0.0,0.0,0.0
1600_7,0.0,0.0,0.0
1700_7,0.0,0.0,0.0
1800_7,0.0,0.0,0.0
1900_7,0.0,0.0,0.0
2000_7,0.0,0.0,0.0
2100_7,0.0,0.0,0.0
2200_7,0.0,0.0,0.0
2300_7,0.0,0.0,0.0
2400_7,0.0,0.0,0.0
2500_7,0.0,0.0,0.0
2600_7,0.0,0.0,0.0
2700_7,0.0,0.0,0.0
2800_7,0.0,0.0,0.0
2900_7,0.0,0.0,0.0
3000_7,0.0,0.0,0.0
3100_7,0.0,0.0,0.0
3200_7,0.0,0.0,0.0
3300_7,0.0,0.0,0.0
3400_7,0.0,0.0,0.0
3500_7,0.0,0.0,0.0
3600_7,0.0,0.0,0.0
3700_7,0.0,0.0,0.0
3800_7,0.0,0.0,0.0
3900_7,0.0,0.0,0.0
4000_7,0.0,0.0,0.0
100_8,0.0,0.0,0.0
200_8,0.0,0.0,0.0
300_8,0.0,0.0,0.0
400_8,0.0,0.0,0.0
500_8,0.0,0.0,0.0
600_8,0.0,0.0,0.0
700_8,0.0,0.0,0.0
800_8,0.0,0.0,0.0
900_8,0.0,0.0,0.0
1000_8,0.0,0.0,0.0
1100_8,0.0,0.0,0.0
1200_8,0.0,0.0,0.0
1300_8,0.0,0.0,0.0
1400_8,0.0,0.0,0.0
1500_8,0.0,0.0,0.0
1600_8,0.0,0.0,0.0
1700_8,0.0,0.0,0.0
1800_8,0.0,0.0,0.0
1900_8,0.0,0.0,0.0
2000_8,0.0,0.0,0.0
2100_8,0.0,0.0,0.0
2200_8,0.0,0.0,0.0
2300_8,0.0,0.0,0.0
2400_8,0.0,0.0,0.0
2500_8,0.0,0.0,0.0
2600_8,0.0,0.0,0.0
2700_8,0.0,0.0,0.0
2800_8,0.0,0.0,0.0
2900_8,0.0,0.0,0.0
3000_8,0.0,0.0,0.0
3100_8,0.0,0.0,0.0
3200_8,0.0,0.0,0.0
3300_8,0.0,0.0,0.0
3400_8,0.0,0.0,0.0
3500_8,0.0,0.0,0.0
3600_8,0.0,0.0,0.0
3700_8,0.0,0.0,0.0
3800_8,0.0,0.0,0.0
3900_8,0.0,0.0,0.0
4000_8,0.0,0.0,0.0
100_9,0.0,0.0,0.0
200_9,0.0,0.0,0.0
300_9,0.0,0.0,0.0
400_9,0.0,0.0,0.0
500_9,0.0,0.0,0.0
600_9,0.0,0.0,0.0
700_9,0.0,0.0,0.0
800_9,0.0,0.0,0.0
900_9,0.0,0.0,0.0
1000_9,0.0,0.0,0.0
1100_9,0.0,0.0,0.0
1200_9,0.0,0.0,0.0
1300_9,0.0,0.0,0.0
1400_9,0.0,0.0,0.0
1500_9,0.0,0.0,0.0
1600_9,0.0,0.0,0.0
1700_9,0.0,0.0,0.0
1800_9,0.0,0.0,0.0
1900_9,0.0,0.0,0.0
2000_9,0.0,0.0,0.0
2100_9,0.0,0.0,0.0
2200_9,0.0,0.0,0.0
2300_9,0.0,0.0,0.0
2400_9,0.0,0.0,0.0
2500_9,0.0,0.0,0.0
2600_9,0.0,0.0,0.0
2700_9,0.0,0.0,0.0
2800_9,0.0,0.0,0.0
2900_9,0.0,0.0,0.0
3000_9,0.0,0.0,0.0
3100_9,0.0,0.0,0.0
3200_9,0.0,0.0,0.0
3300_9,0.0,0.0,0.0
3400_9,0.0,0.0,0.0
3500_9,0.0,0.0,0.0
3600_9,0.0,0.0,0.0
3700_9,0.0,0.0,0.0
3800_9,0.0,0.0,0.0
3900_9,0.0,0.0,0.0
4000_9,0.0,0.0,0.0
100_10,0.0,0.0,0.0
200_10,0.0,0.0,0.0
300_10,0.0,0.0,0.0
400_10,0.0,0.0,0.0
500_10,0.0,0.0,0.0
600_10,0.0,0.0,0.0
700_10,0.0,0.0,0.0
800_10,0.0,0.0,0.0
900_10,0.0,0.0,0.0
1000_10,0.0,0.0,0.0
1100_10,0.0,0.0,0.0
1200_10,0.0,0.0,0.0
1300_10,0.0,0.0,0.0
1400_10,0.0,0.0,0.0
1500_10,0.0,0.0,0.0
1600_10,0.0,0.0,0.0
1700_10,0.0,0.0,0.0
1800_10,0.0,0.0,0.0
1900_10,0.0,0.0,0.0
2000_10,0.0,0.0,0.0
2100_10,0.0,0.0,0.0
2200_10,0.0,0.0,0.0
2300_10,0.0,0.0,0.0
2400_10,0.0,0.0,0.0
2500_10,0.0,0.0,0.0
2600_10,0.0,0.0,0.0
2700_10,0.0,0.0,0.0
2800_10,0.0,0.0,0.0
2900_10,0.0,0.0,0.0
3000_10,0.0,0.0,0.0
3100_10,0.0,0.0,0.0
3200_10,0.0,0.0,0.0
3300_10,0.0,0.0,0.0
3400_10,0.0,0.0,0.0
3500_10,0.0,0.0,0.0
3600_10,0.0,0.0,0.0
3700_10,0.0,0.0,0.0
