"KEYWORDS","TITLE","ABSTRACT","JOURNAL","YEAR","code","text","class"
NA,"fourth and fifth grade norms for verbal items in six categories",NA,"Behavior Research Methods {\&} Instrumentation",1975,"Yes","fourth grade norm verbal item categori na",1
NA,"recognitionconfusion of dot matrix vs conventional font capital letters",NA,"Perception {\&} Psychophysics",1981,"Yes","recognitionconfus dot matrix convent font capit letter na",1
"KeywordsLexical database Mandarin Chinese Simplified Chinese Chinese lexical database CLD ","chinese lexical database cld","We present the Chinese Lexical Database (CLD): a large-scale lexical database for simplified Chinese. The CLD provides a wealth of lexical information for 3913 one-character words, 34,233 two-character words, 7143 three-character words, and 3355 four-character words, and is publicly available through http://www.chineselexicaldatabase.com. For each of the 48,644 words in the CLD, we provide a wide range of categorical predictors, as well as an extensive set of frequency measures, complexity measures, neighborhood density measures, orthography-phonology consistency measures, and information-theoretic measures. We evaluate the explanatory power of the lexical variables in the CLD in the context of experimental data through analyses of lexical decision latencies for one-character, two-character, three-character and four-character words, as well as word naming latencies for one-character and two-character words. The results of these analyses are discussed.","Behavior Research Methods",2018,"No","lexic databas mandarin chines simplifi chines chines lexic databas cld chines lexic databas cld present chines lexic databas cld larg scale lexic databas simplifi chines cld wealth lexic inform charact word charact word charact word charact word public httpwwwchineselexicaldatabas word cld provid wide rang categor predictor extens set frequenc measur complex measur neighborhood densiti measur orthographi phonolog consist measur inform theoret measur evalu explanatori power lexic variabl cld context experiment data analys lexic decis latenc charact charact charact charact word word name latenc charact charact word result analys discuss",0
NA,"forthcoming articles",NA,"Behavior Research Methods, Instruments, & Computers",2000,"No","forthcom articl na",0
"KeywordsReference Group Group Norm Measurement Instrument Educational Researcher Royal Statistical Society ","norm a subroutine for updating the norms of a reference group",NA,"Behavior Research Methods & Instrumentation",1980,"No","refer group group norm measur instrument educ research royal statist societi norm subroutin updat norm refer group na",0
NA,"an inexpensive minicomputer system",NA,"Behavior Research Methods & Instrumentation",1975,"No","inexpens minicomput system na",0
"KeywordsBehavior Research Method Letter String Computer Selection Experimental Psychology Monograph Word Attribute ","computer selection of verbal research materials",NA,"Behavior Research Methods, Instruments, & Computers",1984,"No","behavior research method letter string comput select experiment psycholog monograph word attribut comput select verbal research materi na",0
"KeywordsRecognition Test Median Latency Relative Judgment Absolute Judgment Retrieval Failure ","factretrieval2 a pascal program for assessing someones recall of general information facts confidence about recall correctness feeling of knowing judgments for nonrecalled facts and recognition of nonrecalled facts",NA,"Behavior Research Methods, Instruments, & Computers",1984,"No","recognit test median latenc relat judgment absolut judgment retriev failur factretriev pascal program assess someon recal general inform fact confid recal correct feel know judgment nonrecal fact recognit nonrecal fact na",0
"KeywordsCorrect Answer Paired Comparison Gamma Correlation Computer Clock APPLESOFT BASIC ","factretrieval a program for assessing someones recall of general information facts feeling of knowing judgments for nonrecalled facts and recognition of nonrecalled facts",NA,"Behavior Research Methods & Instrumentation",1981,"No","correct answer pair comparison gamma correl comput clock applesoft basic factretriev program assess someon recal general inform fact feel know judgment nonrecal fact recognit nonrecal fact na",0
"KeywordsImplicit Memory Primed Word Word Fragment Priming Index Stem Completion ","priming index of the spanish word fragments from the das soler and ruiz 2004 database","Word-fragment completion is a frequently used test in implicit memory research. A database of 196 Spanish fragments was recently published (Dasí, Soler, & Ruiz, 2004) in which the fragments were described for indices, such as difficulty, familiarity, frequency, number of meanings, and so on (www.psychonomic.org/archive). In this work, a new index, thepriming index, is described for the same 196 fragments. This index is calculated for each fragment by subtracting the difficulty index (the proportion of correct completion when the fragment is not studied) from the proportion of correct completion when the fragment is studied, and it means the capacity of an item to be primed. In order to determine whether the new index performs well, we have replicated some important experimental effects, such as priming, frequency, and difficulty. We consider that this index can help researchers to better select stimuli for fragment-completion tasks.","Behavior Research Methods",2007,"No","implicit memori prime word word fragment prime index stem complet prime index spanish word fragment das soler ruiz databas word fragment complet frequent test implicit memori research databas spanish fragment recent publish das soler ruiz fragment indic difficulti familiar frequenc number mean wwwpsychonomicorgarch work index theprim index fragment index calcul fragment subtract difficulti index proport correct complet fragment studi proport correct complet fragment studi mean capac item prime order determin index perform replic import experiment effect prime frequenc difficulti index research select stimuli fragment complet task",0
NA,"forthcoming behavior research methods instruments computers articles",NA,"Behavior Research Methods, Instruments, & Computers",1991,"No","forthcom behavior research method instrument comput articl na",0
NA,"computer technology index to articles inbehavior research methods instruments computers from 1977 to 1987",NA,"Behavior Research Methods, Instruments, & Computers",1987,"No","comput technolog index articl inbehavior research method instrument comput na",0
NA,"printout",NA,"Behavior Research Methods & Instrumentation",1974,"No","printout na",0
"KeywordsBehavior Research Method Lexical Decision Task Abstract Word Pictorial Stimulus Object Decision ","digitized nonobjects for use with the apple macintosh computer",NA,"Behavior Research Methods, Instruments, & Computers",1988,"No","behavior research method lexic decis task abstract word pictori stimulus object decis digit nonobject appl macintosh comput na",0
"KeywordsFamiliar Object Visual Complexity Image Agreement Green Phosphor Picture File ","picture stimuli for the apple ii computer",NA,"Behavior Research Methods, Instruments, & Computers",1984,"No","familiar object visual complex imag agreement green phosphor pictur file pictur stimuli appl ii comput na",0
"KeywordsBehavior Research Method Normal Curve Monte Carlo Estimate Correlational Research HATU ","an interactive fortran iv program for calculating aspects of power in correlational research",NA,"Behavior Research Methods, Instruments, & Computers",1985,"No","behavior research method normal curv mont carlo estim correl research hatu interact fortran iv program calcul aspect power correl research na",0
"KeywordsNormal Score Behavior Research Method Decimal Place Single Precision Asymptotic Relative Efficiency ","fortran iv functions to compute expected normal scores",NA,"Behavior Research Methods & Instrumentation",1983,"No","normal score behavior research method decim place singl precis asymptot relat effici fortran iv function comput expect normal score na",0
"KeywordsBehavior Research Method Population Standard Deviation Approximate Power Group Standard Deviation Calculate POllER ","an interactive fortran iv program for calculating power sample size or detectable differences in means",NA,"Behavior Research Methods & Instrumentation",1981,"No","behavior research method popul standard deviat approxim power group standard deviat calcul poller interact fortran iv program calcul power sampl size detect differ mean na",0
"KeywordsFactor Loading Sampling Variance Harman Jackknife Method Jackknife Calculation ","intermax a program for orthogonal analytical rotation by the intermax criterion",NA,"Behavior Research Methods, Instruments, & Computers",1986,"No","factor load sampl varianc harman jackknif method jackknif calcul intermax program orthogon analyt rotat intermax criterion na",0
NA,"eye movement research methods",NA,"Behavior Research Methods, Instruments, & Computers",2002,"No","eye movement research method na",0
"KeywordsBehavior Research Method Control Pass Digital Equipment Corpus Chance Performance Automate Contingency ","a program that simulates random choice in radial arm mazes and similar choice situations",NA,"Behavior Research Methods & Instrumentation",1980,"No","behavior research method control pass digit equip corpus chanc perform autom conting program simul random choic radial arm maze similar choic situat na",0
"KeywordsLinear Discriminant Analysis Behavior Research Method Interactive Session Digital Equipment Corpus Rank Transformation ","rancova a minitab macro for the calculation of nonparametric ranked analysis of covariance",NA,"Behavior Research Methods, Instruments, & Computers",1985,"No","linear discrimin analysi behavior research method interact session digit equip corpus rank transform rancova minitab macro calcul nonparametr rank analysi covari na",0
"KeywordsIntraclass Correlation True Score Digital Equipment Corpus Maximum Likeli Program Output ","intraclass correlation estimation of the reliability of ratings",NA,"Behavior Research Methods & Instrumentation",1982,"No","intraclass correl true score digit equip corpus maximum like program output intraclass correl estim reliabl rate na",0
"KeywordsSchiff Optic Flow Event Perception Illusory Contour Toggle Switch ","the active eye software for the demonstration of event perception phenomena on the macintosh",NA,"Behavior Research Methods, Instruments, & Computers",1990,"No","schiff optic flow event percept illusori contour toggl switch activ eye softwar demonstr event percept phenomena macintosh na",0
"KeywordsConfiguration File Sequential Dependency Integer Code Code Translation Transcript File ","sats sequential analysis of transcripts system",NA,"Behavior Research Methods, Instruments, & Computers",1990,"No","configur file sequenti depend integ code code translat transcript file sat sequenti analysi transcript system na",0
"KeywordsAnticipation Program Paired Associate Response Term Digital Equipment Corporation Stimulus Term ","basic plus 2 programs to perform experimental procedures for paired associate verbal learning",NA,"Behavior Research Methods & Instrumentation",1983,"No","anticip program pair associ respons term digit equip corpor stimulus term basic program perform experiment procedur pair associ verbal learn na",0
"KeywordsStepper Motor Switching Rate Loaded Motor Valley Electronics Variable Reluctance ","an improved technique for determining brain reward thresholds in primates",NA,"Behavior Research Methods & Instrumentation",1971,"No","stepper motor switch rate load motor valley electron variabl reluct improv techniqu determin brain reward threshold primat na",0
"KeywordsDigital Equipment Corporation Public Health Service Grant Tape Reading Tape Format Tape Option ","linc to pdp 11 tape translation",NA,"Behavior Research Methods & Instrumentation",1978,"No","digit equip corpor public health servic grant tape read tape format tape option linc pdp tape translat na",0
"KeywordsPayoff Brier Score Floppy Disk Conditional Likelihood Knowledge Improvement ","a computer program for administering and scoring confidence tests",NA,"Behavior Research Methods, Instruments, & Computers",1986,"No","payoff brier score floppi disk condit likelihood knowledg improv comput program administ score confid test na",0
NA,"society for computers in psychology",NA,"Behavior Research Methods",2009,"No","societi comput psycholog na",0
NA,"the time magazine corpus",NA,NA,NA,"Yes","time magazin corpus na",1
NA,"the latin library",NA,NA,NA,"Yes","latin librari na",1
NA,"the lampeter corpus of early modern english texts",NA,NA,2001,"Yes","lampet corpus earli modern english text na",1
NA,"the oxford text archive",NA,NA,NA,"Yes","oxford text archiv na",1
NA,"the internet archive",NA,NA,NA,"Yes","internet archiv na",1
NA,"o corpus do portugues",NA,NA,2015,"Yes","corpus portugu na",1
NA,"letter and word perception",NA,NA,1980,"Yes","letter word percept na",1
NA,"intelligence squared",NA,NA,NA,"Yes","intellig squar na",1
NA,"austlang australian indigeneous languages database",NA,NA,NA,"Yes","austlang australian indigen languag databas na",1
NA,"afbo a world wide survey of affix borrowing",NA,NA,2013,"Yes","afbo world wide survey affix borrow na",1
NA,"the language goldmine",NA,NA,NA,"Yes","languag goldmin na",1
NA,"corpus of global web based english",NA,NA,NA,"Yes","corpus global web base english na",1
NA,"opinion lexicon",NA,NA,NA,"Yes","opinion lexicon na",1
NA,"corpus of canadian english strathy",NA,NA,NA,"Yes","corpus canadian english strathi na",1
NA,"frisian languages database",NA,NA,2013,"Yes","frisian languag databas na",1
NA,"digital corpus of sanskrit dcs",NA,NA,NA,"Yes","digit corpus sanskrit dcs na",1
NA,"wikipedia corpus",NA,NA,NA,"Yes","wikipedia corpus na",1
NA,"sinica treebank",NA,NA,NA,"Yes","sinica treebank na",1
NA,"parallel bible corpus",NA,NA,NA,"Yes","parallel bibl corpus na",1
NA,"open parallel corpus",NA,NA,NA,"Yes","open parallel corpus na",1
NA,"york helsinki parsed corpus of old english poetry",NA,NA,NA,"Yes","york helsinki pars corpus english poetri na",1
NA,"yelp challenge review data",NA,NA,NA,"Yes","yelp challeng review data na",1
NA,"world bank open data",NA,NA,NA,"Yes","world bank open data na",1
NA,"wacky corpus",NA,NA,NA,"Yes","wacki corpus na",1
NA,"uppsala student english corpus use",NA,NA,NA,"Yes","uppsala student english corpus na",1
NA,"uppsala russian corpus",NA,NA,NA,"Yes","uppsala russian corpus na",1
NA,"universal declaration of human rights",NA,NA,NA,"Yes","univers declar human right na",1
NA,"rosetta collection in the internet archive",NA,NA,NA,"Yes","rosetta collect internet archiv na",1
NA,"romani morpho syntax database rms",NA,NA,NA,"Yes","romani morpho syntax databas rms na",1
NA,"reflex  reference lexicon",NA,NA,NA,"Yes","reflex refer lexicon na",1
NA,"the quranic arabic corpus",NA,NA,NA,"Yes","quran arab corpus na",1
NA,"project gutenberg",NA,NA,NA,"Yes","project gutenberg na",1
NA,"penn parsed corpora of historical english",NA,NA,NA,"Yes","penn pars corpora histor english na",1
NA,"parallel english irish corpus of legal texts",NA,NA,NA,"Yes","parallel english irish corpus legal text na",1
NA,"open subtitles",NA,NA,NA,"Yes","open subtitl na",1
NA,"new york times article archive",NA,NA,NA,"Yes","york time articl archiv na",1
NA,"nederlandse familienamenbank",NA,NA,NA,"Yes","nederlands familienamenbank na",1
NA,"livac synchronous corpus",NA,NA,NA,"Yes","livac synchron corpus na",1
NA,"leipzig wortschatz lexicon",NA,NA,NA,"Yes","leipzig wortschatz lexicon na",1
