"CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","ABSTRACT","ISSN","KEYWORDS","URL","ISBN","DOI","code","duplicate"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MISC","OpinionLexicon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"opinion lexicon",NA,NA,NA,NA,NA,NA,"http://www.cs.uic.edu/{~}liub/FBS/sentiment-analysis.html",NA,NA,"Yes","TRUE"
"MISC","Fitt2002",NA,NA,"Fitt","The Center for Speech Technology Research, University of Edinburgh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unisyn lexicon",NA,NA,"2002",NA,NA,NA,"http://www.cstr.ed.ac.uk/projects/unisyn/",NA,NA,"Yes","TRUE"
"MISC","Sentiwordnet",NA,NA,"c(""Baccianella"", ""Esuli"", ""Sebastiani"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sentiwordnet",NA,NA,NA,"In this work we present SENTIWORDNET 3.0, a lexical resource explicitly devised for supporting sentiment classification and opinion mining applications. SENTIWORDNET 3.0 is an improved version of SENTIWORDNET 1.0, a lexical resource publicly available for research purposes, now currently licensed to more than 300 research groups and used in a variety of research projects worldwide. Both SENTIWORDNET 1.0 and 3.0 are the result of automatically annotating all WORDNET synsets according to their degrees of positivity, negativity, and neutrality. SENTIWORDNET 1.0 and 3.0 differ (a) in the versions of WORDNET which they annotate (WORDNET 2.0 and 3.0, respectively), (b) in the algorithm used for automatically annotating WORDNET, which now includes (additionally to the previous semi-supervised learning step) a random-walk step for refining the scores. We here discuss SENTIWORDNET 3.0, especially focussing on the improvements concerning aspect (b) that it embodies with respect to version 1.0. We also report the results of evaluating SENTIWORDNET 3.0 against a fragment of WORDNET 3.0 manually annotated for positivity, negativity, and neutrality; these results indicate accuracy improvements of about 20{\%} with respect to SENTIWORDNET 1.0.",NA,NA,"http://sentiwordnet.isti.cnr.it/",NA,NA,"Yes","TRUE"
"MISC","IndoWordNet",NA,NA,"Bhattacharyya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"indowordnet",NA,NA,NA,"India is a multilingual country where machine translation and cross lingual search are highly relevant problems. These problems require large resources- like wordnets and lexicons- of high quality and coverage. Wordnets are lexical structures composed of synsets and semantic relations. Synsets are sets of synonyms. They are linked by semantic relations like hypernymy (is-a), meronymy (part-of), troponymy (manner-of) etc. IndoWordnet is a linked structure of wordnets of major Indian languages from Indo-Aryan, Dravidian and Sino-Tibetan families. These wordnets have been created by following the expansion approach from Hindi wordnet which was made available free for research in 2006. Since then a number of Indian languages have been creating their wordnets. In this paper we discuss the methodology, coverage, important considerations and multifarious benefits of IndoWordnet. Case studies are provided for Marathi, Sanskrit, Bodo and Telugu, to bring out the basic methodology of and challenges involved in the expansion approach. The guidelines the lexicographers follow for wordnet construction are enumerated. The difference between IndoWordnet and EuroWordnet also is discussed.",NA,NA,"http://www.cfilt.iitb.ac.in/indowordnet/",NA,NA,"Yes","TRUE"
"MISC","HindiWordnet",NA,NA,"c(""Bhattacharyya"", ""Laxmi"", ""Kanojia"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindi wordnet",NA,NA,NA,NA,NA,NA,"http://www.cfilt.iitb.ac.in/wordnet/webhwn/",NA,NA,"Yes","TRUE"
"MISC","Muysken2014",NA,NA,"c(""Muysken"", ""Hammarstrom"", ""Krasnoukhova"", ""Meller"", ""Birchall"", ""van de Kerke"", ""O'Connor"", ""Danielsen"", ""van Gijn"", ""Saad"")","Max Planck Institute for Evolutionary Anthropology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sails",NA,NA,"2014",NA,NA,NA,"https://sails.clld.org/",NA,NA,"Yes","TRUE"
"ARTICLE",NA,NA,NA,"Jean GagenRobert L. OakmanJames Q. Graham Jr.",NA,NA,NA,NA,"NULL",NA,NA,"Computers and the Humanities",NA,NA,NA,"2",NA,NA,NA,NA,NA,"reviews",NA,"8","1974",NA,NA,NA,"http://link.springer.com/article/10.1007/BF02530745",NA,"10.1007/BF02530745","No","TRUE"
"ARTICLE","Mayzner1965c",NA,NA,"c(""Mayzner"", ""Tresselt"", ""Wolin"")",NA,NA,NA,NA,NA,NA,NA,"Psychonomic Monograph Supplementsi",NA,NA,NA,NA,NA,"33--78",NA,NA,NA,"tables of trigram frequency counts for various word length and letter position combinations",NA,"1","1965",NA,NA,NA,NA,NA,NA,"Yes","TRUE"
"ARTICLE","Mayzner1965",NA,NA,"c(""Mayzner"", ""Tresselt"", ""Wolin"")",NA,NA,NA,NA,NA,NA,NA,"Psychonomic Monograph Supplements",NA,NA,NA,NA,NA,"79--142",NA,NA,NA,"tables of tetragram frequency counts for various word length and letter position combinations",NA,"1","1965",NA,NA,NA,NA,NA,NA,"Yes","TRUE"
"ARTICLE","Mayzner1965a",NA,NA,"c(""Mayzner"", ""Tresselt"", ""Wolin"")",NA,NA,NA,NA,NA,NA,NA,"Psychonomic Monograph Supplements",NA,NA,NA,NA,NA,"145--185",NA,NA,NA,"tables of pentagram frequency counts for various word length and letter position combinations",NA,"1","1965",NA,NA,NA,NA,NA,NA,"Yes","TRUE"
"ARTICLE","Storkel2013",NA,NA,"Storkel, Holly L.",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,"1159--1167",NA,NA,NA,"a corpus of consonant vowel consonant real words and nonwords comparison of phonotactic probability neighborhood density and consonant age of acquisition",NA,"45","2013","A corpus of 5,765 consonant-vowel-consonant sequences (CVCs) was compiled, and phonotactic probability and neighborhood density were computed for both child and adult corpora. This corpus of CVCs, provided as supplementary materials, was analyzed to address the following questions: (1) Do computations based on a child corpus differ from those based on an adult corpus? (2) Do the phonotactic probability and/or the neighborhood density of real words differ from those of nonwords? (3) Do phonotactic probability and/or neighborhood density differ across CVCs that vary in consonant age of acquisition? The results showed significant differences in phonotactic probability and neighborhood density for the child versus adult corpora, replicating prior findings. The impact of this difference on future studies will depend on the level of precision needed when specifying probability and density. In addition, significant and large differences in phonotactic probability and neighborhood density were detected between real words and nonwords, which may present methodological challenges for future research. Finally, CVCs composed of earlier-acquired sounds differed significantly in probability and density from those composed of later-acquired sounds, although this effect was relatively small and is less likely to present significant methodological challenges to future studies.","1554351X","Neighborhood density,Phonotactic probability",NA,"3143627344","10.3758/s13428-012-0309-7","Yes","TRUE"
"ARTICLE",NA,NA,NA,"Holly L. Storkel",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,NA,NA,NA,NA,"a corpus of consonantvowelconsonant real words and nonwords comparison of phonotactic probability neighborhood density and consonant age of acquisition",NA,"45","2013",NA,NA,NA,"http://link.springer.com/article/10.3758/s13428-012-0309-7",NA,"10.3758/s13428-012-0309-7","No","TRUE"
"ARTICLE","Rudell1993",NA,NA,"Rudell, Alan P.",NA,NA,NA,NA,NA,NA,NA,"Behavior Research Methods, Instruments, {\&} Computers",NA,"dec",NA,"4",NA,"455--463",NA,NA,NA,"frequency of word usage and perceived word difficulty ratings of kuvcera and francis words",NA,"25","1993","Twenty-four judges estimated the conceptual difficulty level of 870 five-letter words, using a 5-point scale. The words were selected from three word-frequency categories (1, 5–10, and 50–3,562/million) based on the word counts provided by Ku{\v{c}}era and Francis (1967). The ratings were reliable. Tables in this paper list the means and standard deviations of the ratings for each word. Reaction time (RT) for valid word identification was tested in 20 subjects, using four sets of 50 words designed to test the effects of word frequency and word difficulty. RT was longer for more difficult words when word frequency was held constant. A word-frequency effect on RT was present when difficulty was held constant. The relationship of the results to subjective estimates of word familiarity is discussed.","0743-3808",NA,"http://www.springerlink.com/index/10.3758/BF03204543",NA,"10.3758/BF03204543","Yes","TRUE"
"ARTICLE",NA,NA,NA,"Alan P. Rudell",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"4",NA,NA,NA,NA,NA,"frequency of word usage and perceived word difficulty ratings of kuera and francis words",NA,"25","1993",NA,NA,NA,"http://link.springer.com/article/10.3758/BF03204543",NA,"10.3758/BF03204543","No","TRUE"
